Method,C,kernel,gamma,Accuracy,Precision,Recall,F1-Score
Custom Grid Search,0.1,linear,auto,0.873,0.874,0.873,0.8729
Custom Grid Search,0.1,linear,scale,0.873,0.874,0.873,0.8729
Custom Grid Search,0.1,rbf,auto,0.856,0.8635,0.856,0.8552
Custom Grid Search,0.1,rbf,scale,0.856,0.8635,0.856,0.8552
Custom Grid Search,1.0,linear,auto,0.869,0.8699,0.869,0.8689
Custom Grid Search,1.0,linear,scale,0.869,0.8699,0.869,0.8689
Custom Grid Search,1.0,rbf,auto,0.857,0.8581,0.857,0.8569
Custom Grid Search,1.0,rbf,scale,0.857,0.8581,0.857,0.8569
Custom Grid Search,10.0,linear,auto,0.87,0.8708,0.87,0.8699
Custom Grid Search,10.0,linear,scale,0.87,0.8708,0.87,0.8699
Custom Grid Search,10.0,rbf,auto,0.822,0.8236,0.822,0.8218
Custom Grid Search,10.0,rbf,scale,0.822,0.8236,0.822,0.8218
