iteration,score,best_score,C,gamma,kernel
1,0.9736163478098963,0.9736163478098963,10.0,scale,rbf
2,0.9593591822693991,0.9736163478098963,0.1,auto,poly
3,0.9601359556530334,0.9736163478098963,0.1,scale,linear
4,0.9729551315758213,0.9736163478098963,10.0,scale,linear
5,0.9593591822693991,0.9736163478098963,0.1,auto,poly
6,0.9601359556530334,0.9736163478098963,0.1,auto,linear
7,0.9736163478098963,0.9736163478098963,10.0,scale,rbf
8,0.8988963725779141,0.9736163478098963,0.1,scale,rbf
9,0.9664248426925912,0.9736163478098963,10.0,auto,poly
10,0.9664248426925912,0.9736163478098963,10.0,auto,poly
11,0.9736163478098963,0.9736163478098963,0.1,scale,poly
12,0.9799407283278252,0.9799407283278252,10.0,auto,rbf
13,0.9729551315758213,0.9799407283278252,10.0,auto,linear
14,0.9593591822693991,0.9799407283278252,10.0,scale,poly
15,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
16,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
17,0.8988963725779141,0.9799407283278252,0.1,scale,rbf
18,0.9601359556530334,0.9799407283278252,0.1,auto,linear
19,0.9601359556530334,0.9799407283278252,0.1,auto,linear
20,0.9593591822693991,0.9799407283278252,0.1,auto,poly
21,0.9593591822693991,0.9799407283278252,0.1,auto,poly
22,0.9729551315758213,0.9799407283278252,10.0,auto,linear
23,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
24,0.8988963725779141,0.9799407283278252,0.1,scale,rbf
25,0.9729551315758213,0.9799407283278252,10.0,auto,linear
26,0.9601359556530334,0.9799407283278252,0.1,scale,linear
27,0.9593591822693991,0.9799407283278252,0.1,auto,poly
28,0.9593591822693991,0.9799407283278252,0.1,auto,poly
29,0.9664248426925912,0.9799407283278252,10.0,auto,poly
30,0.9593591822693991,0.9799407283278252,10.0,scale,poly
31,0.9729551315758213,0.9799407283278252,10.0,scale,linear
32,0.9593591822693991,0.9799407283278252,10.0,scale,poly
33,0.8988963725779141,0.9799407283278252,0.1,scale,rbf
34,0.9799407283278252,0.9799407283278252,10.0,auto,rbf
35,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
36,0.8988963725779141,0.9799407283278252,0.1,scale,rbf
37,0.9729551315758213,0.9799407283278252,10.0,scale,linear
38,0.9736163478098963,0.9799407283278252,10.0,scale,rbf
39,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
40,0.9593591822693991,0.9799407283278252,10.0,scale,poly
41,0.9736163478098963,0.9799407283278252,0.1,scale,poly
42,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
43,0.9664248426925912,0.9799407283278252,10.0,auto,poly
44,0.8988963725779141,0.9799407283278252,0.1,scale,rbf
45,0.9729551315758213,0.9799407283278252,10.0,auto,linear
46,0.9601359556530334,0.9799407283278252,0.1,scale,linear
47,0.9593591822693991,0.9799407283278252,10.0,scale,poly
48,0.9736163478098963,0.9799407283278252,10.0,scale,rbf
49,0.9397199115336371,0.9799407283278252,0.1,auto,rbf
50,0.9729551315758213,0.9799407283278252,10.0,scale,linear
