iteration,score,best_score,max_depth,min_samples_split,min_samples_leaf,criterion
1,0.9531630991703731,0.9531630991703731,15,10,4,gini
2,0.9399086874893327,0.9531630991703731,10,2,2,entropy
3,0.9530713599657307,0.9531630991703731,15,2,1,entropy
4,0.9401365922713171,0.9531630991703731,7,2,8,gini
5,0.9729646697388633,0.9729646697388633,3,2,1,gini
6,0.9400993192976115,0.9729646697388633,3,10,2,entropy
7,0.9400993192976115,0.9729646697388633,7,20,2,entropy
8,0.9401365922713171,0.9729646697388633,3,20,8,gini
9,0.9334150326797386,0.9729646697388633,10,2,8,entropy
10,0.9400993192976115,0.9729646697388633,5,20,2,entropy
11,0.95302597143995,0.9729646697388633,10,10,1,entropy
12,0.9729646697388633,0.9729646697388633,3,5,1,gini
13,0.9532029725578113,0.9729646697388633,15,20,2,gini
14,0.9664230631972569,0.9729646697388633,10,20,1,gini
15,0.9598473857882461,0.9729646697388633,3,20,2,gini
16,0.9531258261966675,0.9729646697388633,3,2,1,entropy
17,0.9334150326797386,0.9729646697388633,3,20,8,entropy
18,0.9532029725578113,0.9729646697388633,5,5,2,gini
19,0.9729646697388633,0.9729646697388633,3,10,1,gini
20,0.9664230631972569,0.9729646697388633,15,10,1,gini
21,0.9598927743140268,0.9729646697388633,5,2,1,gini
22,0.9530713599657307,0.9729646697388633,5,2,1,entropy
23,0.9598927743140268,0.9729646697388633,7,2,1,gini
24,0.9729646697388633,0.9729646697388633,3,20,1,gini
25,0.9532029725578113,0.9729646697388633,7,20,2,gini
26,0.9530713599657307,0.9729646697388633,7,2,1,entropy
27,0.9401365922713171,0.9729646697388633,5,5,8,gini
28,0.9334150326797386,0.9729646697388633,5,10,8,entropy
29,0.9334150326797386,0.9729646697388633,7,5,8,entropy
30,0.9401365922713171,0.9729646697388633,10,20,8,gini
31,0.9532029725578113,0.9729646697388633,10,2,2,gini
32,0.9532029725578113,0.9729646697388633,10,20,2,gini
33,0.9532029725578113,0.9729646697388633,15,2,2,gini
34,0.9399086874893327,0.9729646697388633,15,2,2,entropy
35,0.9531258261966675,0.9729646697388633,3,10,1,entropy
36,0.9334150326797386,0.9729646697388633,5,5,8,entropy
37,0.9334150326797386,0.9729646697388633,10,10,8,entropy
38,0.9532029725578113,0.9729646697388633,7,2,2,gini
39,0.9401365922713171,0.9729646697388633,5,2,8,gini
40,0.939999464540894,0.9729646697388633,7,10,2,entropy
41,0.9531630991703731,0.9729646697388633,15,2,4,gini
42,0.9532029725578113,0.9729646697388633,7,5,2,gini
43,0.9401365922713171,0.9729646697388633,7,5,8,gini
44,0.9664230631972569,0.9729646697388633,10,10,1,gini
45,0.9334150326797386,0.9729646697388633,10,20,4,entropy
46,0.9531630991703731,0.9729646697388633,3,5,4,gini
47,0.9531630991703731,0.9729646697388633,5,20,4,gini
48,0.9531630991703731,0.9729646697388633,7,20,4,gini
49,0.9334150326797386,0.9729646697388633,3,20,4,entropy
50,0.9400458152197557,0.9729646697388633,5,2,4,entropy
