model,run_type,best_params,accuracy,precision,recall,f1
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.607641196013289,0.42923510708542345,0.47093253968253973,0.4310902150781194
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.5704318936877076,0.43112897076372575,0.4407738095238095,0.41871497816799363
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.6778516057585826,0.5732589035678279,0.5661904761904761,0.5587329586854592
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.607641196013289,0.42923510708542345,0.47093253968253973,0.4310902150781194
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.6029900332225914,0.46090764388839495,0.49966269841269845,0.46019477190605446
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.5750830564784053,0.4030436567430571,0.4429960317460317,0.4056525806382786
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.6778516057585826,0.5732589035678279,0.5661904761904761,0.5587329586854592
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.6450719822812847,0.5912986550486552,0.5830158730158731,0.5591769750666471
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.6404208194905869,0.6576445384107922,0.6019841269841271,0.5920129886908405
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.6493909191583611,0.5382130515683148,0.557281746031746,0.5376815259480531
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.6591362126245848,0.5589180854691691,0.5700000000000001,0.5441442548796566
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.6686600221483943,0.5588351370851371,0.5892063492063493,0.5572740766643329
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.65437430786268,0.5652248677248678,0.5718849206349206,0.5527735618622716
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.6403100775193798,0.5580694656030054,0.5722222222222222,0.5413873643855724
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.6638981173864895,0.5669497461602724,0.5839682539682539,0.5513175713175713
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.6544850498338871,0.5534918465296039,0.5544246031746031,0.5428678455742023
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.6592469545957919,0.5668430335097001,0.5815873015873015,0.5488102651196686
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 1}",0.6497231450719824,0.5970417058574953,0.5915873015873016,0.5669745518377453
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.65437430786268,0.690974748431645,0.6308730158730158,0.6269719528954191
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}",0.6921373200442968,0.6803240420570142,0.6528571428571428,0.6381647927967371
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.7015503875968994,0.6791525512384646,0.6574603174603174,0.6403238190510067
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.6497231450719824,0.6616478063846485,0.6064285714285715,0.5962331659922191
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.6734219269102989,0.620744301994302,0.6114285714285714,0.5825239223791117
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.6640088593576966,0.5971362297355589,0.5925396825396825,0.5664667280661034
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.6733111849390919,0.6651162498492221,0.6442063492063491,0.6208892111096275
