model,run_type,best_params,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
RandomForestClassifier,bayesian_search,"{'n_estimators': 150, 'max_depth': 5, 'min_samples_split': 10}",0.766255526456591,0.6307009082275988,0.7229883653356008,0.5500691110141132,0.766255526456591,0.5341983562806576,0.7197046461503374
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",0.7975134465376925,0.8694770908748936,0.8215829130590137,0.600275231582521,0.7975134465376925,0.6045432803607996,0.7621429874638569
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",0.7975134465376925,0.8694770908748936,0.8215829130590137,0.600275231582521,0.7975134465376925,0.6045432803607996,0.7621429874638569
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10}",0.7600086358217641,0.5161100146510088,0.6817146803571591,0.5406118143459917,0.7600086358217641,0.5219183216705834,0.7117739722647224
RandomForestClassifier,bayesian_search,"{'n_estimators': 150, 'max_depth': 5, 'min_samples_split': 10}",0.766255526456591,0.6307009082275988,0.7229883653356008,0.5500691110141132,0.766255526456591,0.5341983562806576,0.7197046461503374
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",0.7975134465376925,0.8694770908748936,0.8215829130590137,0.600275231582521,0.7975134465376925,0.6045432803607996,0.7621429874638569
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}",0.7700149249528315,0.8085358309163593,0.7836358811618241,0.5775443765459043,0.7700149249528315,0.5769208383858073,0.7348089737935303
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 15, 'min_samples_split': 2}",0.7962509269428253,0.8673316789417668,0.8203841095052254,0.600608055676803,0.7962509269428253,0.6074326195067118,0.76189327068385
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}",0.7700149249528315,0.8085358309163593,0.7836358811618241,0.5775443765459043,0.7700149249528315,0.5769208383858073,0.7348089737935303
RandomForestClassifier,bayesian_search,"{'n_estimators': 150, 'max_depth': 10, 'min_samples_split': 10}",0.7912477823772915,0.865511037611347,0.8165235644289477,0.5855202321483421,0.7912477823772915,0.5810222256673582,0.7514437092654825
RandomForestClassifier,bayesian_search,"{'n_estimators': 150, 'max_depth': 5, 'min_samples_split': 5}",0.7675086592886712,0.6294844526131226,0.7231403253114528,0.5528468887918909,0.7675086592886712,0.5356836217994841,0.7212920205096204
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 15, 'min_samples_split': 10}",0.7875071574066252,0.7151176974808475,0.7642479834537402,0.5859983510354527,0.7875071574066252,0.5830258638884405,0.7491146667216788
